tourney_date,surface,tourney_level,round,winner_id,winner_name,winner_hand,winner_age,winner_height,winner_rank,winner_rank_points,winner_recent_wins,loser_id,loser_name,loser_hand,loser_age,loser_height,loser_rank,loser_rank_points,loser_recent_wins,winner_hard_exp,winner_clay_exp,winner_grass_exp,loser_hard_exp,loser_clay_exp,loser_grass_exp,rank_points_ratio,h2h_wins,target,rank_diff,exp_diff,recent_wins_diff,age_diff,momentum,rank_ratio,experience_gap,winner_days_since,loser_days_since,days_since_last_match,relative_momentum,rank_pressure,recovery_indicator
2000-02-04,Clay,D,RR,102539,Bohdan Ulihrach,R,24.9,188.0,138.0,273.0,0,102965,Jamie Delgado,R,22.9,178.0,139.0,272.0,2,0,0,0,2,1,0,1.0036764705882353,1,1,1.0,-1,-2,2.0,2,1.0036764705882353,-0.6931471805599453,0.0,0.0,0.0,-0.6666666666666666,1.0,-0.0
2000-02-04,Clay,D,RR,102740,Francisco Rodriguez,R,23.9,0.0,0.0,0.0,0,101825,Manuel Tejada,R,29.2,0.0,0.0,0.0,0,0,1,0,0,0,0,0.0,1,1,0.0,1,0,-5.300000000000001,0,1.0,0.6931471805599453,0.0,0.0,0.0,0.0,0.0,0.0
2000-02-04,Clay,D,RR,102830,Paulo Carvallo,R,23.6,0.0,461.0,50.0,0,102283,Yari Bernardo,R,26.2,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,1,1,50.0,0,0,-2.599999999999998,0,1.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0
2000-02-04,Clay,D,RR,102830,Paulo Carvallo,R,23.6,0.0,461.0,50.0,0,101825,Manuel Tejada,R,29.2,0.0,0.0,0.0,0,0,1,0,0,1,0,0.0,1,1,50.0,0,0,-5.599999999999998,0,1.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0
2000-02-04,Clay,D,RR,102740,Francisco Rodriguez,R,23.9,0.0,0.0,0.0,0,108812,Jose Baires,U,20.2,0.0,1162.0,2.0,0,0,0,0,0,0,0,0.0,1,1,-2.0,0,0,3.6999999999999993,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2000-02-04,Clay,D,RR,102610,Albert Costa,R,24.6,180.0,18.0,1261.0,0,102106,Davide Sanguinetti,R,27.4,188.0,112.0,351.0,2,0,0,0,2,0,0,3.592592592592593,1,1,910.0,0,-2,-2.799999999999997,0,3.5925925925925926,0.0,0.0,0.0,0.0,-0.5263157894736846,910.0,-0.0
2000-02-04,Clay,D,RR,102997,Hermes Gamonal,R,22.7,180.0,598.0,26.0,0,103225,Simon Larose,R,21.6,190.0,487.0,43.0,0,0,0,0,0,0,0,0.6046511627906976,1,1,-17.0,0,0,1.0999999999999979,0,0.6046511627906976,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2000-02-04,Clay,D,RR,102374,Alex Corretja,R,25.8,180.0,32.0,1002.0,4,102247,Andrea Gaudenzi,R,26.5,183.0,90.0,444.0,1,4,0,0,1,0,0,2.256756756756757,3,1,558.0,0,3,-0.6999999999999993,0,2.2567567567567566,0.0,0.0,0.0,0.0,1.764705882352942,558.0,0.0
2000-02-04,Clay,D,RR,102192,Luis Adrian Morejon,R,26.9,178.0,251.0,130.0,0,102756,Eduardo Rincon,R,23.9,0.0,654.0,20.0,0,0,1,0,0,0,0,6.5,1,1,110.0,1,0,3.0,0,6.5,0.6931471805599453,0.0,0.0,0.0,0.0,110.0,0.0
2000-02-04,Clay,D,RR,102247,Andrea Gaudenzi,R,26.5,183.0,90.0,444.0,0,102610,Albert Costa,R,24.6,180.0,18.0,1261.0,2,0,0,0,2,0,0,0.352101506740682,2,1,-817.0,0,-2,1.8999999999999986,0,0.352101506740682,0.0,0.0,0.0,0.0,-0.6896551724137935,0.0,-0.0
2000-02-21,Clay,A,R32,102287,Stefan Koubek,L,26.3,175.0,38.0,459.0,2,102905,Albert Portas,R,23.1,188.0,85.0,882.0,5,5,0,0,2,2,0,1.9215686274509804,2,0,-423.0,-2,-3,3.1999999999999993,6,0.5204081632653061,-1.0986122886681098,-2548.0,-4029.0,1481.0,-0.7142857142857144,0.0,-4443.0
2000-02-21,Clay,A,F,103264,Juan Ignacio Chela,R,21.4,190.0,129.0,296.0,2,103428,Mariano Puerta,L,20.5,180.0,128.0,296.0,0,0,0,0,2,3,0,1.0,2,0,0.0,-3,2,0.8999999999999986,-6,1.0,-1.3862943611198906,-2030.0,0.0,-2030.0,1.0526315789473693,0.0,-4060.0
2000-02-21,Clay,A,R32,102869,Franco Squillari,L,23.4,183.0,46.0,546.0,2,102644,Galo Blanco,R,24.5,173.0,75.0,772.0,3,3,0,0,2,2,0,1.413919413919414,1,0,-226.0,-2,-1,-1.1000000000000014,2,0.7072538860103627,-1.0986122886681098,-2254.0,-1666.0,-588.0,-0.4761904761904759,0.0,588.0
2000-02-21,Clay,A,SF,102905,Juan Ignacio Chela,R,23.1,190.0,129.0,882.0,4,103428,Stefan Koubek,L,20.5,175.0,38.0,296.0,0,0,0,0,4,1,0,0.3356009070294785,1,0,586.0,-1,4,2.6000000000000014,-4,2.97972972972973,-0.6931471805599453,-3373.0,0.0,-3373.0,1.1111111111111107,586.0,-13492.0
2000-02-21,Clay,A,QF,102839,Franco Squillari,L,23.5,183.0,46.0,1641.0,3,102644,Nicolas Lapentti,R,24.5,188.0,9.0,772.0,3,3,0,0,3,1,0,0.4704448507007922,2,0,869.0,-1,0,-1.0,0,2.1256476683937824,-0.6931471805599453,-3497.0,0.0,-3497.0,0.0,869.0,-0.0
2000-02-21,Clay,A,QF,103084,Mariano Puerta,L,22.2,180.0,128.0,551.0,2,103264,Guillermo Canas,R,21.4,185.0,74.0,296.0,0,0,0,0,2,1,0,0.5372050816696915,2,0,255.0,-1,2,0.8000000000000007,-2,1.8614864864864864,-0.6931471805599453,-3430.0,-2030.0,-1400.0,1.1111111111111107,255.0,-2800.0
2000-02-21,Clay,A,QF,103292,Stefan Koubek,L,21.2,175.0,38.0,627.0,3,102905,Gaston Gaudio,R,23.1,175.0,65.0,882.0,5,5,0,0,3,1,0,1.4066985645933014,2,0,-255.0,-1,-2,-1.9000000000000021,2,0.7108843537414966,-0.6931471805599453,-3346.0,0.0,-3346.0,-0.6896551724137926,0.0,6692.0
2000-02-21,Clay,A,QF,103082,Juan Ignacio Chela,R,22.3,190.0,129.0,387.0,3,103428,Markus Hantschk,R,20.5,188.0,103.0,296.0,0,0,0,0,3,0,0,0.7648578811369509,1,0,91.0,0,3,1.8000000000000007,0,1.3074324324324325,0.0,-342.0,0.0,-342.0,1.0714285714285712,91.0,-1026.0
