tourney_date,surface,tourney_level,round,winner_id,winner_name,winner_hand,winner_age,winner_height,winner_rank,winner_rank_points,winner_recent_wins,loser_id,loser_name,loser_hand,loser_age,loser_height,loser_rank,loser_rank_points,loser_recent_wins,winner_hard_exp,winner_clay_exp,winner_grass_exp,loser_hard_exp,loser_clay_exp,loser_grass_exp,rank_points_ratio,h2h_wins
2000-02-28,Clay,A,R32,103428,Juan Ignacio Chela,R,20.5,190.0,74.0,555.0,5,102548,Juan Antonio Marin,R,25.0,175.0,73.0,558.0,4,0,5,0,3,1,0,0.9946236559139784,1
2000-02-28,Clay,A,R16,103264,Mariano Puerta,L,21.4,180.0,84.0,470.0,4,103428,Juan Ignacio Chela,R,20.5,190.0,74.0,555.0,0,0,4,0,0,0,0,0.8468468468468469,1
2000-03-06,Clay,A,F,103264,Mariano Puerta,L,21.5,180.0,72.0,589.0,8,101962,Younes El Aynaoui,R,28.5,193.0,19.0,1241.0,4,0,8,0,4,0,0,0.4746172441579371,2
2000-03-06,Clay,A,SF,101962,Younes El Aynaoui,R,28.5,193.0,19.0,1241.0,9,102950,Fernando Vicente,R,23.0,180.0,45.0,800.0,6,9,3,0,4,2,0,1.55125,4
2000-03-06,Clay,A,SF,103264,Mariano Puerta,L,21.5,180.0,72.0,589.0,8,102856,Gustavo Kuerten,R,23.5,190.0,5.0,2254.0,4,0,9,0,2,2,0,0.2613132209405501,1
2000-03-06,Clay,A,QF,102950,Fernando Vicente,R,23.0,180.0,45.0,800.0,5,103324,Arnaud Di Pasquale,R,21.1,185.0,56.0,700.0,3,3,3,0,1,2,0,1.1428571428571428,2
2000-03-06,Clay,A,QF,102856,Gustavo Kuerten,R,23.5,190.0,5.0,2254.0,7,103082,Markus Hantschk,R,22.3,188.0,105.0,391.0,5,0,8,0,3,2,0,5.764705882352941,1
2000-03-06,Clay,A,R16,101962,Younes El Aynaoui,R,28.5,193.0,19.0,1241.0,9,102477,Gaston Etlis,R,25.3,185.0,137.0,288.0,2,9,1,0,1,1,0,4.309027777777778,2
2000-03-06,Clay,A,R16,102287,Albert Portas,R,26.3,188.0,78.0,537.0,4,101969,Orlin Stanoytchev,R,28.4,185.0,102.0,407.0,6,1,3,0,4,2,0,1.3194103194103195,1
2000-03-06,Clay,A,R16,102950,Fernando Vicente,R,23.0,180.0,45.0,800.0,5,101675,Martin Rodriguez,R,30.2,178.0,129.0,315.0,4,3,2,0,3,1,0,2.5396825396825395,3
2000-03-06,Clay,A,R16,103324,Arnaud Di Pasquale,R,21.1,185.0,56.0,700.0,0,102720,Tomas Zib,R,24.1,178.0,108.0,375.0,5,0,0,0,4,1,0,1.8666666666666667,1
